Attack_Type,Model_Prediction_Time,Explanation_Time,Control_to_End_Time,Total_Time
DDoS_UDP,2.018342,7.842068,0.195690,10.056100
DDoS_UDP,0.093264,7.834575,0.144080,8.071919
DDoS_UDP,0.090324,7.427740,0.146970,7.665034
DDoS_UDP,0.088523,7.694101,0.139998,7.922621
DDoS_UDP,0.110000,8.062678,0.151123,8.323802
DDoS_UDP,0.108775,7.477035,0.154025,7.739834
DDoS_UDP,0.102040,8.127048,0.148039,8.377126
DDoS_UDP,0.099152,8.299759,0.161154,8.560064
DDoS_UDP,0.113071,8.036816,0.137775,8.287662
DDoS_UDP,0.118176,7.871215,0.156272,8.145663
DDoS_UDP,0.099967,7.916813,0.144051,8.160831
DDoS_UDP,0.101406,7.664592,0.158928,7.924926
DDoS_UDP,0.107719,7.379108,0.150643,7.637471
DDoS_UDP,0.095007,8.461274,0.159245,8.715526
DDoS_UDP,0.092566,8.174307,0.168756,8.435630
DDoS_UDP,0.099311,7.793134,0.150013,8.042458
DDoS_UDP,0.108012,8.677116,0.143756,8.928885
DDoS_UDP,0.093628,8.265737,0.154992,8.514357
DDoS_UDP,0.108695,8.015501,0.143031,8.267227
DDoS_UDP,0.094081,8.017782,0.143054,8.254917
DDoS_UDP,0.105002,8.036691,0.147630,8.289322
DDoS_UDP,0.105002,7.898084,0.186954,8.190039
DDoS_UDP,0.111933,8.121071,0.153062,8.386066
DDoS_UDP,0.103375,8.054543,0.179538,8.337456
DDoS_UDP,0.110097,8.139269,0.168003,8.417370
DDoS_UDP,0.106784,7.932802,0.153257,8.192843
DDoS_UDP,0.096764,8.219928,0.139503,8.456195
DDoS_UDP,0.105096,8.608807,0.154561,8.868463
DDoS_UDP,0.112972,8.560833,0.146999,8.820804
DDoS_UDP,0.119477,8.705960,0.151955,8.977391
DDoS_UDP,0.098306,8.174770,0.148041,8.421118
DDoS_UDP,0.102623,8.212867,0.141905,8.457396
DDoS_UDP,0.094981,8.584157,0.152986,8.832124
DDoS_UDP,0.092736,8.500956,0.152034,8.745727
DDoS_TCP,2.011535,8.664520,0.190013,10.866068
DDoS_TCP,0.089594,8.538661,0.146960,8.775215
